"R0000100","R0536300","R0536401","R1210700","U4329700","U4330000","U4336100","U4336200","U4336300","U4337600","U4337700","U4337800","U4337900","U4338800","U4338900","U4339000","U4339100"
117,1,10,70,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
118,1,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
119,1,9,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
120,1,6,88,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
121,1,12,75,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
122,1,6,39,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
123,1,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,1,2,77,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
125,2,5,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
126,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
127,2,3,79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
128,2,8,88,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
129,2,8,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
130,2,7,90,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
131,1,10,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,1,2,92,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,1,7,93,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
134,1,4,94,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
135,1,4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
136,2,9,87,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
137,2,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
138,1,4,88,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
139,2,7,91,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
140,1,12,91,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
141,2,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
142,2,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
143,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
144,1,8,91,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
145,1,4,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
146,1,7,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
147,2,2,53,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
148,2,10,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
149,2,4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
150,1,2,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
151,2,1,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
152,1,5,14,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
153,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
154,1,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
156,1,11,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
157,2,3,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
158,1,12,23,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
159,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
160,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
161,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
162,2,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
163,1,2,63,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
164,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
165,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
166,2,9,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
167,1,11,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
168,1,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
169,2,1,92,-4,-4,-4,-4,-4,1,-4,-4,-4,1,-4,-4,-4
170,2,8,97,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
171,2,7,73,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
172,1,7,95,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
173,2,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,1,4,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
175,2,10,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
176,1,9,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
177,2,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
178,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
179,2,9,86,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
180,1,9,98,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
181,2,11,96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
182,2,5,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
183,2,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
184,1,12,70,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
185,1,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
186,2,7,86,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
187,1,9,86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
188,2,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
189,2,8,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
190,1,10,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
191,1,2,81,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
192,2,3,77,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
