"E8033100","R0000100","R0536300","R0536401","R0536402","R1210700","R1235800","R1482600","R9829600","U4282400"
0,346,1,5,1984,0,1,2,25049,-4
0,347,1,9,1981,9,1,2,-4,-4
0,348,1,8,1983,3,1,2,-4,-4
6,349,1,1,1984,3,1,2,-4,2
3,350,1,2,1984,86,1,4,-4,-4
0,351,2,6,1981,-4,1,2,-4,-5
1,352,2,6,1981,-4,1,2,-5,-4
3,353,2,9,1982,5,1,2,-4,-4
0,354,2,7,1982,66,1,2,-4,-4
0,355,2,12,1980,-4,1,2,-5,-4
0,356,2,10,1982,0,1,2,-5,-4
0,357,1,9,1981,-4,1,2,-4,-4
0,358,1,2,1983,0,1,2,-4,-4
0,359,2,1,1983,-3,1,2,-4,-4
0,360,1,9,1984,84,1,2,-4,5
0,361,1,8,1980,-4,1,2,-5,-5
0,362,2,4,1981,-4,1,2,59187,-4
0,363,2,11,1983,66,1,2,51107,-4
0,364,2,7,1984,39,1,2,-4,-5
7,365,2,2,1982,53,1,2,-4,-5
0,366,2,8,1980,-4,1,2,45232,-4
0,367,1,6,1981,-4,1,2,47394,-4
2,368,2,4,1981,-4,1,2,10479,4
9,369,1,7,1984,0,1,2,4585,-5
22,370,1,6,1981,70,1,2,-4,-4
0,371,2,12,1982,5,1,2,16245,-5
0,372,1,6,1983,37,1,2,23633,-5
0,373,2,8,1984,1,1,2,7915,-4
0,374,2,9,1981,-4,1,4,-4,2
1,375,1,7,1982,95,1,1,97117,-5
0,376,1,3,1981,-4,1,1,-4,-4
0,377,2,12,1984,77,1,1,-4,-4
2,378,1,2,1984,79,1,1,-4,-4
0,379,2,11,1980,-4,1,2,64443,-5
0,380,1,2,1983,-3,1,4,20750,-5
0,381,1,1,1980,-4,1,2,-5,-5
0,382,2,1,1980,-4,1,4,48082,-4
0,383,2,2,1984,61,1,4,-5,-5
0,384,1,11,1983,70,1,2,-4,-5
1,385,1,12,1981,10,1,2,14009,-4
0,386,1,6,1980,-4,1,2,36962,-4
1,387,2,1,1983,14,1,2,11738,-4
0,388,2,1,1982,-4,1,2,11676,-4
0,389,2,6,1981,-4,1,4,61504,-5
1,390,2,3,1983,16,1,4,-4,-4
0,391,1,3,1980,-4,1,4,-4,-4
0,392,1,1,1980,-4,1,2,95143,-4
0,393,1,9,1983,-3,1,2,26658,-4
1,394,1,10,1984,-3,1,2,85233,-4
0,395,1,8,1984,82,1,4,-4,-4
0,396,1,9,1983,16,1,4,60488,-4
3,397,1,4,1982,9,1,2,-4,4
0,398,1,8,1980,-4,1,2,-4,-4
0,399,1,9,1980,-4,1,3,66370,-5
1,400,2,7,1982,-3,1,3,88260,-4
5,401,1,6,1984,86,1,4,59049,-4
1,402,2,7,1984,47,1,4,-4,-4
1,403,2,2,1984,25,1,1,26195,-4
0,404,1,3,1980,-4,1,4,46187,-5
0,405,1,9,1981,-4,1,4,82821,-5
0,406,2,6,1983,92,1,4,94129,-5
0,407,2,10,1981,-4,1,2,-4,-4
0,408,1,5,1980,-4,1,1,50883,-4
1,409,2,12,1980,-4,1,1,-4,-4
6,410,1,10,1980,-4,1,2,8080,-5
0,411,2,2,1980,-4,1,2,24968,-4
1,412,1,2,1982,2,1,2,30740,-4
0,413,1,7,1980,-4,1,1,-4,-4
1,414,2,7,1980,-4,1,1,16020,-4
0,415,2,12,1981,-4,1,4,16817,-4
0,416,2,7,1980,-4,1,4,99561,-4
1,417,2,5,1983,37,1,4,28489,-4
0,418,1,5,1983,88,1,4,-4,-4
0,419,1,2,1984,93,1,4,90936,-5
2,420,1,3,1980,-4,1,4,-4,-4
4,421,1,8,1982,1,1,4,-4,-4
0,422,1,1,1981,-4,1,3,-4,-4
0,423,2,1,1984,50,1,3,-4,-4
0,424,2,6,1984,84,1,2,83087,-4
0,425,2,8,1982,91,1,4,96531,-4
0,426,2,12,1980,-4,1,2,2417,-4
2,427,1,11,1981,3,1,2,15242,-4
0,428,2,11,1984,0,1,2,8618,-4
2,429,1,1,1981,-4,1,4,41516,-4
0,430,1,3,1983,55,1,4,-4,-5
0,431,2,10,1984,3,1,2,24639,-5
5,432,1,2,1981,-4,1,2,20973,-4
0,433,2,9,1984,8,1,2,-4,-4
0,434,1,4,1982,75,1,4,34640,-4
0,435,2,6,1981,-4,1,2,-4,-5
0,436,2,2,1982,32,1,2,-5,-5
0,437,2,7,1981,-4,1,2,42467,-4
0,438,1,3,1983,-3,1,2,22450,-4
0,439,2,5,1984,-3,1,2,999,-4
5,440,1,8,1980,-4,1,2,30844,-4
4,441,1,1,1982,82,1,2,4790,-4
0,442,2,3,1981,-4,1,2,-4,-5
1,443,1,6,1980,-4,1,2,-4,-4
0,444,2,2,1982,-3,1,2,-4,-4
1,445,1,1,1981,-4,1,2,-5,-4
8,446,1,2,1983,23,1,2,-4,-4
1,447,2,9,1983,-3,1,2,-4,-4
3,448,2,9,1983,0,1,2,-4,-4
0,449,2,9,1984,-3,1,2,-4,-5
1,450,2,11,1980,-4,1,2,-4,-4
3,451,1,9,1983,7,1,2,-4,-4
1,452,2,3,1981,-4,1,2,-4,-4
0,453,2,7,1982,5,1,2,-4,-4
0,454,1,8,1982,79,1,2,57742,-5
1,455,1,8,1984,0,1,2,-4,-4
0,456,1,11,1983,50,1,2,68666,-4
0,457,1,5,1980,-4,1,2,-4,-4
0,458,1,6,1982,66,1,2,-4,-4
0,459,2,6,1983,-3,1,2,47120,-1
0,460,2,12,1981,0,1,2,2010,-4
0,461,2,3,1983,0,1,2,13978,4
1,462,2,2,1981,-4,1,2,-4,-4
4,463,1,7,1982,5,1,2,-4,-4
0,464,2,11,1981,19,1,2,26273,-4
0,465,2,10,1984,5,1,2,-4,-4
12,466,1,12,1983,84,1,2,7468,-4
2,467,2,9,1984,2,1,2,-4,-4
0,468,2,11,1981,-4,1,2,-4,-4
0,469,2,1,1982,3,1,2,-4,-4
0,470,2,2,1981,0,1,2,-4,-4
0,471,1,7,1980,-4,1,2,19146,-4
0,472,2,1,1983,61,1,2,40550,-4
0,473,2,3,1982,1,1,2,-4,-4
0,474,2,7,1984,0,1,2,-4,-4
0,475,1,3,1981,-4,1,2,15463,-4
0,476,1,7,1982,23,1,1,-4,-4
0,477,2,5,1982,42,1,2,-4,-4
0,478,2,1,1983,37,1,4,-4,-4
0,479,2,8,1982,1,1,2,-4,-4
6,480,2,7,1980,-4,1,2,-4,-4
4,481,1,5,1984,13,1,2,-4,-4
1,482,1,7,1983,12,1,1,30629,-4
0,483,1,2,1980,-4,1,2,94974,-4
0,484,2,8,1982,90,1,2,66930,-4
0,485,1,7,1982,95,1,4,-4,-4
0,486,2,6,1980,-4,1,4,74540,-5
0,487,1,3,1984,10,1,4,6538,-4
0,488,2,1,1982,30,1,4,26452,-4
0,489,2,11,1982,75,1,4,-4,-5
0,490,1,11,1982,84,1,3,98786,-4
0,491,1,9,1984,73,1,3,44976,-4
0,492,2,10,1983,86,1,4,59730,-4
0,493,1,9,1981,-4,1,4,-5,-5
